epoch,train_loss,main_loss,aux_loss,val_loss,val_accuracy,mean_emotion_score,mean_modality_score,mean_negation_score,learning_rate
1,1.6029582951750074,0.6936546031917844,2.0835976677281516,0.6929522007703781,0.566579634464752,0.001,0.0711,0.1671,0.000994
2,1.5972966181380408,0.6932031812412398,2.0809983159814562,0.6928727378447851,0.5618798955613578,0.001,0.0712,0.1672,0.000976
3,1.596492557014738,0.6930869102478028,2.0788492483752115,0.6925791134436925,0.566579634464752,0.001,0.0714,0.1674,0.000946
4,1.5955374492066248,0.6932674199342728,2.0755557009152006,0.692431993285815,0.566579634464752,0.001,0.0714,0.1675,0.000905
5,1.5992767121110643,0.6937931552529335,2.0767041410718647,0.6929988821347555,0.44177545691906006,0.001,0.0714,0.1675,0.000855
6,1.5942678055592945,0.6933580568858555,2.073125998037202,0.692904132604599,0.5655352480417755,0.001,0.0714,0.1674,0.000796
7,1.5934115835598537,0.6932922167437418,2.0696065417357854,0.6926994899908702,0.44281984334203656,0.001,0.0715,0.1675,0.00073
8,1.5910383475678307,0.6929936002407755,2.0662493552480425,0.692642812927564,0.566579634464752,0.001,0.0715,0.1675,0.000658
9,1.590054799403463,0.6931911615388734,2.062578808409827,0.6926279534896215,0.4433420365535248,0.001,0.0715,0.1675,0.000582
10,1.5883082104580744,0.6931482415114131,2.0583095797470636,0.6925997565189997,0.566579634464752,0.001,0.0715,0.1675,0.000505
11,1.5873703496796745,0.6931304748569216,2.0554389212812696,0.6923971176147461,0.566579634464752,0.001,0.0715,0.1676,0.000428
12,1.5883474937507085,0.6931603380611965,2.050976929494313,0.6923360308011373,0.566579634464752,0.001,0.0715,0.1675,0.000352
13,1.5834331742354801,0.6931159415415356,2.045094645023346,0.6923266490300496,0.566579634464752,0.001,0.0714,0.1675,0.00028
